ReviewID,Feedback,Sentiment,Product_Category
1001,This vacuum cleaner picks up dirt really well.,0,Home Appliances
1002,Laptop runs smoothly but gets warm under heavy load.,1,Electronics
1003,Headphones are comfortable and have crisp sound.,1,Electronics
1004,Amazing camera with high resolution photos!,1,Electronics
1005,Dishwasher cleans thoroughly but doesn't dry dishes.,0,Home Appliances
1006,Smartwatch syncs well but screen is too small.,0,Electronics
1007,The shirt was too tight and shrank after one wash.,0,Clothing
1008,Amazing camera with high resolution photos!,1,Electronics
1009,Headphones are comfortable and have crisp sound.,1,Electronics
1010,Toaster burns bread unevenly.,0,Home Appliances
1011,Monitor has vivid colors but occasional flicker.,1,Electronics
1012,Monitor has vivid colors but occasional flicker.,1,Electronics
1013,Jacket keeps me warm and looks stylish.,1,Clothing
1014,T-shirt print peeled off after first wash.,0,Clothing
1015,The shirt was too tight and shrank after one wash.,0,Clothing
1016,Speakers deliver rich bass and clear mids.,0,Electronics
1017,Dress is elegant but stitching came undone.,0,Clothing
1018,Headphones are comfortable and have crisp sound.,1,Electronics
1019,The jeans are very comfortable and fit perfectly.,1,Clothing
1020,Speakers deliver rich bass and clear mids.,0,Electronics
1021,Tablet screen is bright but battery drains fast.,0,Electronics
1022,T-shirt print peeled off after first wash.,0,Clothing
1023,The shirt was too tight and shrank after one wash.,0,Clothing
1024,Refrigerator maintains temperature well but seals are faulty.,0,Home Appliances
1025,This vacuum cleaner picks up dirt really well.,0,Home Appliances
1026,The jeans are very comfortable and fit perfectly.,1,Clothing
1027,Mixer is durable and works as expected.,1,Home Appliances
1028,Toaster burns bread unevenly.,0,Home Appliances
1029,T-shirt print peeled off after first wash.,0,Clothing
1030,Amazing camera with high resolution photos!,1,Electronics
1031,Headphones are comfortable and have crisp sound.,1,Electronics
1032,The jeans are very comfortable and fit perfectly.,1,Clothing
1033,Amazing camera with high resolution photos!,1,Electronics
1034,Dress is elegant but stitching came undone.,0,Clothing
1035,Socks are soft and durable.,1,Clothing
1036,Tablet screen is bright but battery drains fast.,0,Electronics
1037,Jacket keeps me warm and looks stylish.,1,Clothing
1038,Mixer is durable and works as expected.,1,Home Appliances
1039,This vacuum cleaner picks up dirt really well.,0,Home Appliances
1040,Microwave is user-friendly and heats food evenly.,1,Home Appliances
1041,The washing machine is noisy and vibrates a lot.,0,Home Appliances
1042,Charger cable broke after a week of use.,0,Electronics
1043,Dress is elegant but stitching came undone.,0,Clothing
1044,Dishwasher cleans thoroughly but doesn't dry dishes.,0,Home Appliances
1045,Tablet screen is bright but battery drains fast.,0,Electronics
1046,Headphones are comfortable and have crisp sound.,1,Electronics
1047,Tablet screen is bright but battery drains fast.,0,Electronics
1048,Dress is elegant but stitching came undone.,0,Clothing
1049,Headphones are comfortable and have crisp sound.,1,Electronics
1050,Air purifier reduces dust but is too loud.,1,Home Appliances
1051,Charger cable broke after a week of use.,0,Electronics
1052,Sneakers are trendy but soles wear out quickly.,1,Clothing
1053,Laptop runs smoothly but gets warm under heavy load.,1,Electronics
1054,Headphones are comfortable and have crisp sound.,1,Electronics
1055,Dishwasher cleans thoroughly but doesn't dry dishes.,0,Home Appliances
1056,Mixer is durable and works as expected.,1,Home Appliances
1057,Toaster burns bread unevenly.,0,Home Appliances
1058,T-shirt print peeled off after first wash.,0,Clothing
1059,Socks are soft and durable.,1,Clothing
1060,TV display quality is poor and remote stopped working.,0,Electronics
1061,Refrigerator maintains temperature well but seals are faulty.,0,Home Appliances
1062,The phone works great and has excellent battery life.,1,Electronics
1063,TV display quality is poor and remote stopped working.,0,Electronics
1064,Microwave is user-friendly and heats food evenly.,1,Home Appliances
